DIM_GEOGRAPHY_KEY,LATITUDE,LONGITUDE,ISO2_CODE,ISO3_CODE,COUNTRY,ADMIN_REGION,ISO_SUB_DIVISION,ADMIN_REGION_2,RECID
44.71556_-100.1323,44.71556,-100.1323,US,USA,United States,South Dakota,US-SD,Sully County,3674
44.71559_-85.55239,44.71559,-85.55239,US,USA,United States,Michigan,US-MI,Grand Traverse County,3858
44.71625_-95.86836,44.71625,-95.86836,US,USA,United States,Minnesota,US-MN,Yellow Medicine County,2722
44.71963_-92.42252,44.71963,-92.42252,US,USA,United States,Wisconsin,US-WI,Pierce County,3910
44.7261_-120.0275,44.7261,-120.0275,US,USA,United States,Oregon,US-OR,Wheeler County,5215
44.72675_-94.94717,44.72675,-94.94717,US,USA,United States,Minnesota,US-MN,Renville County,3316
44.72677_-91.28589,44.72677,-91.28589,US,USA,United States,Wisconsin,US-WI,Eau Claire County,2863
44.72786_-71.73619,44.72786,-71.73619,US,USA,United States,Vermont,US-VT,Essex County,2811
44.73471_-90.61201,44.73471,-90.61201,US,USA,United States,Wisconsin,US-WI,Clark County,4354
44.74621_-73.67822,44.74621,-73.67822,US,USA,United States,New York,US-NY,Clinton County,3738
44.76002_-96.66795,44.76002,-96.66795,US,USA,United States,South Dakota,US-SD,Deuel County,3265
44.76666_-115.5662,44.76666,-115.5662,US,USA,United States,Idaho,US-ID,Valley County,3094
44.78917_-88.7655,44.78917,-88.7655,US,USA,United States,Wisconsin,US-WI,Shawano County,3196
44.78999_-106.8795,44.78999,-106.8795,US,USA,United States,Wyoming,US-WY,Sheridan County,2549
44.79675_-73.29488,44.79675,-73.29488,US,USA,United States,Vermont,US-VT,Grand Isle County,5433
44.82073_-93.80253,44.82073,-93.80253,US,USA,United States,Minnesota,US-MN,Carver County,2867
44.82353_-94.27244,44.82353,-94.27244,US,USA,United States,Minnesota,US-MN,McLeod County,5032
44.82885_-72.2438,44.82885,-72.2438,US,USA,United States,Vermont,US-VT,Orleans County,5145
44.85751_-72.91199,44.85751,-72.91199,US,USA,United States,Vermont,US-VT,Franklin County,4634
44.85827_-97.72947,44.85827,-97.72947,US,USA,United States,South Dakota,US-SD,Clark County,2919
44.8583_-97.7295,44.8583,-97.7295,US,USA,United States,South Dakota,US-SD,Clark County,5379
44.86262_-85.73514,44.86262,-85.73514,US,USA,United States,Michigan,US-MI,,5172
44.88965_-116.4539,44.88965,-116.4539,US,USA,United States,Idaho,US-ID,Adams County,2619
44.89829_-89.75909,44.89829,-89.75909,US,USA,United States,Wisconsin,US-WI,Marathon County,3034
